Date,Open,High,Low,Close,Adj Close,Volume
2011-06-09,128.770004,129.929993,128.460007,129.399994,113.786789,160964400
2011-06-10,128.850006,128.929993,127.260002,127.599998,112.203995,238629400
2011-06-13,127.889999,128.240005,127.050003,127.699997,112.291908,207599800
2011-06-14,128.869995,129.770004,128.820007,129.320007,113.716461,160570400
2011-06-15,128.240005,129.300003,126.680000,127.019997,111.693962,300958000
2011-06-16,127.059998,127.970001,126.320000,127.300003,111.940201,308032800
2011-06-17,127.930000,127.940002,126.620003,127.050003,112.274239,233284900
2011-06-20,126.620003,127.970001,126.580002,127.699997,112.848625,159479000
2011-06-21,128.360001,129.699997,127.750000,129.449997,114.395103,193157300
2011-06-22,129.050003,129.809998,128.589996,128.669998,113.705811,176703000
2011-06-23,127.160004,128.639999,126.190002,128.300003,113.378868,334286500
2011-06-24,128.270004,128.369995,126.620003,126.809998,112.062149,226129300
2011-06-27,126.889999,128.429993,126.639999,127.940002,113.060715,168904700
2011-06-28,128.449997,129.630005,128.270004,129.610001,114.536507,165556300
2011-06-29,130.199997,130.929993,129.630005,130.720001,115.517426,244295500
2011-06-30,131.139999,132.179993,130.710007,131.970001,116.622025,223322700
2011-07-01,132.089996,134.100006,131.779999,133.919998,118.345245,202385700
2011-07-05,133.779999,134.080002,133.389999,133.809998,118.248039,165936000
2011-07-06,133.490005,134.139999,133.110001,133.970001,118.389435,143331600
2011-07-07,135.160004,135.699997,134.880005,135.360001,119.617775,170464200
2011-07-08,133.830002,135.360001,133.389999,134.399994,118.769447,194100500
2011-07-11,132.750000,133.179993,131.660004,131.970001,116.622025,195918600
2011-07-12,131.690002,132.779999,131.360001,131.399994,116.118332,214675700
2011-07-13,132.089996,133.220001,131.520004,131.839996,116.507126,204062600
2011-07-14,132.169998,132.779999,130.679993,130.929993,115.703011,226111800
2011-07-15,131.660004,131.869995,130.770004,131.690002,116.374580,220012800
2011-07-18,131.080002,131.279999,129.630005,130.610001,115.420189,196872100
2011-07-19,131.339996,132.889999,131.309998,132.729996,117.293633,166554900
2011-07-20,133.070007,133.149994,132.419998,132.649994,117.222931,137145400
2011-07-21,133.399994,134.820007,132.669998,134.490005,118.848946,245246300
2011-07-22,134.520004,134.720001,133.759995,134.580002,118.928482,126019400
2011-07-25,133.300003,134.490005,133.160004,133.830002,118.265709,136653800
2011-07-26,133.740005,133.960007,133.029999,133.330002,117.823868,131278200
2011-07-27,132.589996,132.630005,130.429993,130.600006,115.411346,249020100
2011-07-28,130.600006,131.770004,130.009995,130.220001,115.075531,207939900
2011-07-29,128.910004,130.550003,127.970001,129.330002,114.289070,307038400
2011-08-01,130.839996,130.960007,127.529999,128.779999,113.803032,325790900
2011-08-02,127.809998,128.500000,125.489998,125.489998,110.895638,346653800
2011-08-03,125.660004,126.309998,123.529999,126.169998,111.496567,370830800
2011-08-04,124.419998,124.620003,120.059998,120.260002,106.273903,520721800
2011-08-05,121.760002,122.070000,116.860001,120.080002,106.114822,655619200
2011-08-08,116.910004,120.120003,112.019997,112.260002,99.204285,702263900
2011-08-09,114.070000,117.639999,110.269997,117.480003,103.817200,717828700
2011-08-10,115.260002,116.279999,111.949997,112.290001,99.230797,662607400
2011-08-11,113.260002,118.919998,112.320000,117.330002,103.684654,487979700
2011-08-12,118.400002,119.209999,117.279999,118.120003,104.382774,313731600
2011-08-15,119.190002,120.739998,119.000000,120.620003,106.592026,258810600
2011-08-16,119.470001,120.690002,118.309998,119.589996,105.681808,294095200
2011-08-17,120.250000,121.199997,118.720001,119.669998,105.752510,238201100
2011-08-18,116.500000,119.709999,113.389999,114.510002,101.192619,512956300
2011-08-19,112.959999,115.879997,112.500000,112.639999,99.540092,428281300
2011-08-22,115.169998,115.230003,112.410004,112.730003,99.619621,275090600
2011-08-23,113.150002,116.570000,112.580002,116.440002,102.898155,331136600
2011-08-24,116.190002,118.239998,115.919998,118.080002,104.347420,246869700
2011-08-25,118.730003,119.400002,115.870003,116.279999,102.756760,312365400
2011-08-26,115.690002,118.510002,113.849998,117.970001,104.250221,314495900
2011-08-29,119.559998,121.430000,118.059998,121.360001,107.245964,190977200
2011-08-30,120.830002,122.430000,119.260002,121.680000,107.528755,241315700
2011-08-31,122.459999,123.510002,121.300003,122.220001,108.005943,301828400
2011-09-01,122.290001,123.400002,120.779999,120.940002,106.874809,254585900
2011-09-02,118.419998,120.870003,117.430000,117.849998,104.144150,255517200
2011-09-06,114.389999,117.160004,114.379997,116.989998,103.384186,285130500
2011-09-07,118.760002,120.339996,118.360001,120.290001,106.300415,209803200
2011-09-08,119.570000,120.940002,118.769997,119.040001,105.195778,250568200
2011-09-09,117.680000,119.059998,115.279999,115.919998,102.438629,380195100
2011-09-12,114.470001,116.760002,114.050003,116.669998,103.101402,305793500
2011-09-13,117.050003,118.180000,116.220001,117.739998,104.046959,272514700
2011-09-14,118.339996,120.800003,116.720001,119.370003,105.487404,319389500
2011-09-15,120.650002,121.470001,119.400002,121.430000,107.307808,326777200
2011-09-16,121.290001,121.970001,120.320000,121.519997,107.942947,284528300
2011-09-19,119.529999,120.930000,118.720001,120.309998,106.868126,241517000
2011-09-20,120.820000,121.989998,120.010002,120.169998,106.743767,218932200
2011-09-21,120.230003,120.599998,116.440002,116.629997,103.599281,316251300
2011-09-22,113.250000,114.209999,111.300003,112.860001,100.250481,513911300
2011-09-23,112.110001,114.160004,112.019997,113.540001,100.854500,307242500
2011-09-26,114.610001,116.400002,112.980003,116.239998,103.252853,260673700
2011-09-27,118.529999,119.559998,116.839996,117.540001,104.407616,311753900
2011-09-28,117.779999,118.489998,114.970001,115.139999,102.275749,286696800
2011-09-29,117.050003,117.629997,113.930000,116.050003,103.084091,298108900
2011-09-30,114.449997,115.449997,113.070000,113.150002,100.508102,288392300
2011-10-03,112.489998,113.949997,109.809998,109.930000,97.647858,365136800
2011-10-04,108.349998,112.580002,107.430000,112.339996,99.788589,459177500
2011-10-05,112.620003,114.720001,111.580002,114.419998,101.636192,284108000
2011-10-06,114.360001,116.660004,113.510002,116.489998,103.474937,257800800
2011-10-07,117.169998,117.250000,115.059998,115.709999,102.782074,312657900
2011-10-10,117.680000,119.629997,117.669998,119.580002,106.219673,230666300
2011-10-11,118.870003,120.040001,118.750000,119.699997,106.326294,209088000
2011-10-12,120.599998,122.139999,120.330002,120.750000,107.258957,281544900
2011-10-13,120.040001,120.870003,119.120003,120.510002,107.045799,212538800
2011-10-14,121.910004,122.599998,121.230003,122.570000,108.875603,211397600
2011-10-17,121.989998,122.550003,119.930000,120.230003,106.797073,202311600
2011-10-18,120.139999,123.500000,119.199997,122.580002,108.884514,318857900
2011-10-19,122.379997,123.080002,120.709999,121.129997,107.596512,226601300
2011-10-20,121.430000,122.099998,119.820000,121.660004,108.067299,262075600
2011-10-21,123.089996,124.120003,122.720001,123.970001,110.119209,278999400
2011-10-24,124.169998,125.800003,124.059998,125.489998,111.469376,203215600
2011-10-25,124.889999,124.949997,122.779999,123.050003,109.301979,268596800
2011-10-26,124.349998,124.769997,122.209999,124.300003,110.412346,289053800
2011-10-27,127.629997,129.419998,126.610001,128.630005,114.258560,393220200
2011-10-28,128.000000,128.850006,127.800003,128.600006,114.231911,225906500
2011-10-31,127.160004,128.619995,125.320000,125.500000,111.478249,228146700
2011-11-01,122.029999,123.510002,121.519997,122.000000,108.369308,416565800
2011-11-02,123.830002,124.400002,122.790001,123.989998,110.136963,244717600
2011-11-03,125.269997,126.500000,123.599998,126.250000,112.144478,291174800
2011-11-04,125.230003,125.699997,124.010002,125.480003,111.460487,249401600
2011-11-07,125.389999,126.389999,124.199997,126.260002,112.153343,196617200
2011-11-08,126.919998,128.020004,125.709999,127.879997,113.592354,224426300
2011-11-09,124.889999,125.800003,122.860001,123.160004,109.399704,337982000
2011-11-10,124.790001,124.940002,123.019997,124.320000,110.430099,231866500
2011-11-11,125.830002,126.989998,125.790001,126.660004,112.508667,189924400
2011-11-14,126.190002,127.449997,124.919998,125.459999,111.442726,159258300
2011-11-15,125.169998,126.750000,124.720001,126.080002,111.993439,184709400
2011-11-16,124.809998,126.339996,123.900002,124.080002,110.216919,235782500
2011-11-17,123.849998,124.160004,121.230003,122.110001,108.467003,331219600
2011-11-18,122.500000,122.750000,121.470001,121.980003,108.351540,215580400
2011-11-21,120.199997,120.349998,118.650002,119.660004,106.290741,229611600
2011-11-22,119.400002,120.099998,118.519997,119.190002,105.873260,216494900
2011-11-23,118.070000,119.190002,116.559998,116.559998,103.537117,224329100
2011-11-25,116.379997,117.699997,116.199997,116.339996,103.341667,99557000
2011-11-28,119.540001,120.180000,118.820000,119.709999,106.335159,210686000
2011-11-29,120.050003,121.000000,119.610001,120.050003,106.637177,199241500
2011-11-30,123.489998,125.220001,120.000000,124.989998,111.025230,324439500
2011-12-01,124.849998,125.639999,124.430000,124.970001,111.007469,176954800
2011-12-02,126.120003,126.500000,124.779999,124.860001,110.909782,221109700
2011-12-05,126.839996,127.180000,125.440002,126.220001,112.117813,225263900
2011-12-06,126.209999,127.110001,125.760002,126.260002,112.153343,178842100
2011-12-07,125.839996,127.260002,124.970001,126.730003,112.570839,237802500
2011-12-08,125.900002,126.180000,123.650002,123.949997,110.101433,240862800
2011-12-09,124.510002,126.370003,124.400002,126.050003,111.966827,209111400
2011-12-12,124.949997,124.970001,123.160004,124.209999,110.332382,215826100
2011-12-13,124.860001,125.570000,122.449997,123.050003,109.301979,245159800
2011-12-14,122.559998,123.029999,121.470001,121.739998,108.138344,238618800
2011-12-15,123.029999,123.199997,121.989998,122.180000,108.529198,199109200
2011-12-16,122.230003,122.949997,121.300003,121.589996,108.690102,220481400
2011-12-19,122.059998,122.320000,120.029999,120.290001,107.528000,183903000
2011-12-20,122.180000,124.139999,120.370003,123.930000,110.781837,225418100
2011-12-21,123.930000,124.360001,122.750000,124.169998,110.996376,194230900
2011-12-22,124.629997,125.400002,124.230003,125.269997,111.979675,119465400
2011-12-23,125.669998,126.430000,125.410004,126.389999,112.980850,92187200
2011-12-27,126.169998,126.820000,126.059998,126.489998,113.070251,86075700
2011-12-28,126.510002,126.529999,124.730003,124.830002,111.586365,119107100
2011-12-29,125.239998,126.250000,124.860001,126.120003,112.739494,123507200
2011-12-30,126.019997,126.330002,125.500000,125.500000,112.185280,95599000
2012-01-03,127.760002,128.380005,127.430000,127.500000,113.973091,193697900
2012-01-04,127.199997,127.809998,126.709999,127.699997,114.151871,127186500
2012-01-05,127.010002,128.229996,126.430000,128.039993,114.455780,173895000
2012-01-06,128.199997,128.220001,127.290001,127.709999,114.160805,148050000
2012-01-09,128.000000,128.179993,127.410004,128.020004,114.437920,99530200
2012-01-10,129.389999,129.649994,128.949997,129.130005,115.430153,115282000
2012-01-11,128.729996,129.369995,128.520004,129.199997,115.492729,111540700
2012-01-12,129.570007,129.699997,128.539993,129.509995,115.769821,118983700
2012-01-13,128.639999,129.050003,127.720001,128.839996,115.170921,179836200
2012-01-17,130.080002,130.320007,128.899994,129.339996,115.617867,132209200
2012-01-18,129.309998,130.839996,129.080002,130.770004,116.896172,163395200
2012-01-19,131.220001,131.570007,130.800003,131.460007,117.512962,126328900
2012-01-20,131.240005,131.949997,130.919998,131.949997,117.950943,138230200
